depth_m;temperature_degC
0;NaN
0.1;NaN
0.2;NaN
0.3;NaN
0.4;NaN
0.5;NaN
0.6;NaN
0.7;NaN
0.8;NaN
0.9;NaN
1;NaN
1.1;NaN
1.2;NaN
1.3;NaN
1.4;NaN
1.5;NaN
1.6;NaN
1.7;-19.50107335932
1.8;-19.51440535932
1.9;-19.52773735932
2;-19.53637369408
2.1;-19.49138169408
2.2;-19.44638969408
2.3;-19.40139769408
2.4;-19.3540469351029
2.5;-19.2797572208171
2.6;-19.2054675065314
2.7;-19.1311777922457
2.8;-19.05688807796
2.9;-18.9825983636743
3;-18.9083086493886
3.1;-18.83315632796
3.2;-18.74815232796
3.3;-18.66314832796
3.4;-18.57814432796
3.5;-18.49314032796
3.6;-18.40813632796
3.7;-18.32313232796
3.8;-18.23812832796
3.9;-18.15312432796
4;-18.06812032796
4.1;-17.98376105204
4.2;-17.90676505204
4.3;-17.82976905204
4.4;-17.75277305204
4.5;-17.67577705204
4.6;-17.59878105204
4.7;-17.52178505204
4.8;-17.44478905204
4.9;-17.36779305204
5;-17.29079705204
5.1;-17.21565246
5.2;-17.16165246
5.3;-17.10765246
5.4;-17.05365246
5.5;-16.99965246
5.6;-16.94565246
5.7;-16.89165246
5.8;-16.83765246
5.9;-16.78365246
6;-16.72965246
6.1;-16.6759745
6.2;-16.6259745
6.3;-16.5759745
6.4;-16.5259745
6.5;-16.4759745
6.6;-16.4259745
6.7;-16.3759745
6.8;-16.3259745
6.9;-16.28144918
7;-16.29944918
7.1;-16.31744918
7.2;-16.33544918
7.3;-16.35344918
7.4;-16.37144918
7.5;-16.38944918
7.6;-16.40744918
7.7;-16.42544918
7.8;-16.44344918
7.9;-16.4595242590909
8;-16.4536151681818
8.1;-16.4477060772727
8.2;-16.4417969863636
8.3;-16.4358878954545
8.4;-16.4299788045455
8.5;-16.4240697136364
8.6;-16.4181606227273
8.7;-16.4122515318182
8.8;-16.4063424409091
8.9;-16.40043335
9;-16.3945242590909
9.1;-16.3886151681818
9.2;-16.3827060772727
9.3;-16.3767969863636
9.4;-16.3708878954545
9.5;-16.3649788045455
9.6;-16.3590697136364
9.7;-16.3531606227273
9.8;-16.3472515318182
9.9;-16.3413424409091
10;-16.33543335
10.1;-16.3299467655028
10.2;-16.3292855495399
10.3;-16.328624333577
10.4;-16.327963117614
10.5;-16.3273019016511
10.6;-16.3266406856882
10.7;-16.3259794697252
10.8;-16.3253182537623
10.9;-16.3246570377994
11;-16.3239958218364
11.1;-16.3233346058735
11.2;-16.3226733899106
11.3;-16.3220121739476
11.4;-16.3213509579847
11.5;-16.3206897420218
11.6;-16.3200285260588
11.7;-16.3193673100959
11.8;-16.318706094133
11.9;-16.3180448781701
12;-16.3173836622071
12.1;-16.3167224462442
12.2;-16.3160612302813
12.3;-16.3154000143183
12.4;-16.3147387983554
12.5;-16.3140775823925
12.6;-16.3134163664295
12.7;-16.3127551504666
12.8;-16.3120939345037
12.9;-16.3114327185407
13;-16.3107715025778
13.1;-16.3101102866149
13.2;-16.3094490706519
13.3;-16.308787854689
13.4;-16.3081266387261
13.5;-16.3074654227632
13.6;-16.3068042068002
13.7;-16.3061429908373
13.8;-16.3054817748744
13.9;-16.3048205589114
14;-16.3041593429485
14.1;-16.3034981269856
14.2;-16.3028369110226
14.3;-16.3021756950597
14.4;-16.3015144790968
14.5;-16.3008532631338
14.6;-16.3001920471709
14.7;-16.299530831208
14.8;-16.298869615245
14.9;-16.2982083992821
15;-16.2975471833192
15.1;-16.2968859673562
15.2;-16.2962247513933
15.3;-16.2955635354304
15.4;-16.2949023194675
15.5;-16.2942411035045
15.6;-16.2935798875416
15.7;-16.2929186715787
15.8;-16.2922574556157
15.9;-16.2915962396528
16;-16.2909350236899
16.1;-16.2902738077269
16.2;-16.289612591764
16.3;-16.2889513758011
16.4;-16.2882901598381
16.5;-16.2876289438752
16.6;-16.2869677279123
16.7;-16.2863065119493
16.8;-16.2856452959864
16.9;-16.2849840800235
17;-16.2843228640605
17.1;-16.2836616480976
17.2;-16.2830004321347
17.3;-16.2823392161718
17.4;-16.2816780002088
17.5;-16.2810167842459
17.6;-16.280355568283
17.7;-16.27969435232
17.8;-16.2790331363571
17.9;-16.2783719203942
18;-16.2777107044312
18.1;-16.2770494884683
18.2;-16.2763882725054
18.3;-16.2757270565424
18.4;-16.2750658405795
18.5;-16.2744046246166
18.6;-16.2737434086536
18.7;-16.2730821926907
18.8;-16.2724209767278
18.9;-16.2717597607648
19;-16.2710985448019
19.1;-16.270437328839
19.2;-16.2697761128761
19.3;-16.2691148969131
19.4;-16.2684536809502
19.5;-16.2677924649873
19.6;-16.2671312490243
19.7;-16.2664700330614
19.8;-16.2658088170985
19.9;-16.2651476011355
20;-16.2644863851726
20.1;-16.2638251692097
20.2;-16.2631639532467
20.3;-16.2625027372838
20.4;-16.2618415213209
20.5;-16.2611803053579
20.6;-16.260519089395
20.7;-16.2598578734321
20.8;-16.2591966574692
20.9;-16.2585354415062
21;-16.2578742255433
21.1;-16.2572130095804
21.2;-16.2565517936174
21.3;-16.2558905776545
21.4;-16.2552293616916
21.5;-16.2545681457286
21.6;-16.2539069297657
21.7;-16.2532457138028
21.8;-16.2525844978398
21.9;-16.2519232818769
22;-16.251262065914
22.1;-16.250600849951
22.2;-16.2499396339881
22.3;-16.2492784180252
22.4;-16.2486172020622
22.5;-16.2479559860993
22.6;-16.2472947701364
22.7;-16.2466335541735
22.8;-16.2459723382105
22.9;-16.2453111222476
23;-16.2446499062847
23.1;-16.2439886903217
23.2;-16.2433274743588
23.3;-16.2426662583959
23.4;-16.2420050424329
23.5;-16.24134382647
23.6;-16.2406826105071
23.7;-16.2400213945441
23.8;-16.2393601785812
23.9;-16.2386989626183
24;-16.2380377466553
24.1;-16.2373765306924
24.2;-16.2367153147295
24.3;-16.2360540987665
24.4;-16.2353928828036
24.5;-16.2347316668407
24.6;-16.2340704508778
24.7;-16.2334092349148
24.8;-16.2327480189519
24.9;-16.232086802989
25;-16.231425587026
25.1;-16.2307643710631
25.2;-16.2301031551002
25.3;-16.2294419391372
25.4;-16.2287807231743
25.5;-16.2281195072114
25.6;-16.2274582912484
25.7;-16.2267970752855
25.8;-16.2261358593226
25.9;-16.2254746433596
26;-16.2248134273967
26.1;-16.2241522114338
26.2;-16.2234909954709
26.3;-16.2228297795079
26.4;-16.222168563545
26.5;-16.2215073475821
26.6;-16.2208461316191
26.7;-16.2201849156562
26.8;-16.2195236996933
26.9;-16.2188624837303
27;-16.2182012677674
27.1;-16.2175400518045
27.2;-16.2168788358415
27.3;-16.2162176198786
27.4;-16.2155564039157
27.5;-16.2148951879527
27.6;-16.2142339719898
27.7;-16.2135727560269
27.8;-16.2129115400639
27.9;-16.212250324101
28;-16.2115891081381
28.1;-16.2109278921752
28.2;-16.2102666762122
28.3;-16.2096054602493
28.4;-16.2089442442864
28.5;-16.2082830283234
28.6;-16.2076218123605
28.7;-16.2069605963976
28.8;-16.2062993804346
28.9;-16.2056381644717
29;-16.2049769485088
29.1;-16.2043157325458
29.2;-16.2036545165829
29.3;-16.20299330062
29.4;-16.202332084657
29.5;-16.2016708686941
29.6;-16.2010096527312
29.7;-16.2003484367682
29.8;-16.1996872208053
29.9;-16.1990260048424
30;-16.1983647888795
30.1;-16.1977035729165
30.2;-16.1970423569536
30.3;-16.1963811409907
30.4;-16.1957199250277
30.5;-16.1950587090648
30.6;-16.1943974931019
30.7;-16.1937362771389
30.8;-16.193075061176
30.9;-16.1924138452131
31;-16.1917526292501
31.1;-16.1910914132872
31.2;-16.1904301973243
31.3;-16.1897689813613
31.4;-16.1891077653984
31.5;-16.1884465494355
31.6;-16.1877853334725
31.7;-16.1871241175096
31.8;-16.1864629015467
31.9;-16.1858016855838
32;-16.1851404696208
32.1;-16.1844792536579
32.2;-16.183818037695
32.3;-16.183156821732
32.4;-16.1824956057691
32.5;-16.1818343898062
32.6;-16.1811731738432
32.7;-16.1805119578803
32.8;-16.1798507419174
32.9;-16.1791895259544
33;-16.1785283099915
33.1;-16.1778670940286
33.2;-16.1772058780656
33.3;-16.1765446621027
33.4;-16.1758834461398
33.5;-16.1752222301769
33.6;-16.1745610142139
33.7;-16.173899798251
33.8;-16.1732385822881
33.9;-16.1725773663251
34;-16.1719161503622
34.1;-16.1712549343993
34.2;-16.1705937184363
34.3;-16.1699325024734
34.4;-16.1692712865105
34.5;-16.1686100705475
34.6;-16.1679488545846
34.7;-16.1672876386217
34.8;-16.1666264226587
34.9;-16.1659652066958
35;-16.1653039907329
35.1;-16.1646427747699
35.2;-16.163981558807
35.3;-16.1633203428441
35.4;-16.1626591268812
35.5;-16.1619979109182
35.6;-16.1613366949553
35.7;-16.1606754789924
35.8;-16.1600142630294
35.9;-16.1593530470665
36;-16.1586918311036
36.1;-16.1580306151406
36.2;-16.1573693991777
36.3;-16.1567081832148
36.4;-16.1560469672518
36.5;-16.1553857512889
36.6;-16.154724535326
36.7;-16.154063319363
36.8;-16.1534021034001
36.9;-16.1527408874372
37;-16.1520796714742
37.1;-16.1514184555113
37.2;-16.1507572395484
37.3;-16.1500960235855
37.4;-16.1494348076225
37.5;-16.1487735916596
37.6;-16.1481123756967
37.7;-16.1474511597337
37.8;-16.1467899437708
37.9;-16.1461287278079
38;-16.1454675118449
38.1;-16.144806295882
38.2;-16.1441450799191
38.3;-16.1434838639561
38.4;-16.1428226479932
38.5;-16.1421614320303
38.6;-16.1415002160673
38.7;-16.1408390001044
38.8;-16.1401777841415
38.9;-16.1395165681786
39;-16.1388553522156
39.1;-16.1381941362527
39.2;-16.1375329202898
39.3;-16.1368717043268
39.4;-16.1362104883639
39.5;-16.135549272401
39.6;-16.134888056438
39.7;-16.1342268404751
39.8;-16.1335656245122
39.9;-16.1329044085492
40;-16.1322431925863
40.1;-16.1315819766234
40.2;-16.1309207606604
40.3;-16.1302595446975
40.4;-16.1295983287346
40.5;-16.1289371127716
40.6;-16.1282758968087
40.7;-16.1276146808458
40.8;-16.1269534648828
40.9;-16.1262922489199
41;-16.125631032957
41.1;-16.1249698169941
41.2;-16.1243086010311
41.3;-16.1236473850682
41.4;-16.1229861691053
41.5;-16.1223249531423
41.6;-16.1216637371794
41.7;-16.1210025212165
41.8;-16.1203413052535
41.9;-16.1196800892906
42;-16.1190188733277
42.1;-16.1183576573647
42.2;-16.1176964414018
42.3;-16.1170352254389
42.4;-16.1163740094759
42.5;-16.115712793513
42.6;-16.1150515775501
42.7;-16.1143903615872
42.8;-16.1137291456242
42.9;-16.1130679296613
43;-16.1124067136984
43.1;-16.1117454977354
43.2;-16.1110842817725
43.3;-16.1104230658096
43.4;-16.1097618498466
43.5;-16.1091006338837
43.6;-16.1084394179208
43.7;-16.1077782019578
43.8;-16.1071169859949
43.9;-16.106455770032
44;-16.105794554069
44.1;-16.1051333381061
44.2;-16.1044721221432
44.3;-16.1038109061802
44.4;-16.1031496902173
44.5;-16.1024884742544
44.6;-16.1018272582915
44.7;-16.1011660423285
44.8;-16.1005048263656
44.9;-16.0998436104027
45;-16.0991823944397
45.1;-16.0985211784768
45.2;-16.0978599625139
45.3;-16.0971987465509
45.4;-16.096537530588
45.5;-16.0958763146251
45.6;-16.0952150986621
45.7;-16.0945538826992
45.8;-16.0938926667363
45.9;-16.0932314507733
46;-16.0925702348104
46.1;-16.0919090188475
46.2;-16.0912478028845
46.3;-16.0905865869216
46.4;-16.0899253709587
46.5;-16.0892641549958
46.6;-16.0886029390328
46.7;-16.0879417230699
46.8;-16.087280507107
46.9;-16.086619291144
47;-16.0859580751811
47.1;-16.0852968592182
47.2;-16.0846356432552
47.3;-16.0839744272923
47.4;-16.0833132113294
47.5;-16.0826519953664
47.6;-16.0819907794035
47.7;-16.0813295634406
47.8;-16.0806683474776
47.9;-16.0800071315147
48;-16.0793459155518
48.1;-16.0786846995888
48.2;-16.0780234836259
48.3;-16.077362267663
48.4;-16.0767010517001
48.5;-16.0760398357371
48.6;-16.0753786197742
48.7;-16.0747174038113
48.8;-16.0740561878483
48.9;-16.0733949718854
49;-16.0727337559225
49.1;-16.0720725399595
49.2;-16.0714113239966
49.3;-16.0707501080337
49.4;-16.0700888920707
49.5;-16.0694276761078
49.6;-16.0687664601449
49.7;-16.0681052441819
49.8;-16.067444028219
49.9;-16.0667828122561
50;-16.0661215962932
50.1;-16.0654603803302
50.2;-16.0647991643673
50.3;-16.0641379484044
50.4;-16.0634767324414
50.5;-16.0628155164785
50.6;-16.0621543005156
50.7;-16.0614930845526
50.8;-16.0608318685897
50.9;-16.0601706526268
51;-16.0595094366638
51.1;-16.0588482207009
51.2;-16.058187004738
51.3;-16.057525788775
51.4;-16.0568645728121
51.5;-16.0562033568492
51.6;-16.0555421408862
51.7;-16.0548809249233
51.8;-16.0542197089604
51.9;-16.0535584929975
52;-16.0528972770345
52.1;-16.0522360610716
52.2;-16.0515748451087
52.3;-16.0509136291457
52.4;-16.0502524131828
52.5;-16.0495911972199
52.6;-16.0489299812569
52.7;-16.048268765294
52.8;-16.0476075493311
52.9;-16.0469463333681
53;-16.0462851174052
53.1;-16.0456239014423
53.2;-16.0449626854793
53.3;-16.0443014695164
53.4;-16.0436402535535
53.5;-16.0429790375905
53.6;-16.0423178216276
53.7;-16.0416566056647
53.8;-16.0409953897018
53.9;-16.0403341737388
54;-16.0396729577759
54.1;-16.039011741813
54.2;-16.03835052585
54.3;-16.0376893098871
54.4;-16.0370280939242
54.5;-16.0363668779612
54.6;-16.0357056619983
54.7;-16.0350444460354
54.8;-16.0343832300724
54.9;-16.0337220141095
55;-16.0330607981466
55.1;-16.0323995821836
55.2;-16.0317383662207
55.3;-16.0310771502578
55.4;-16.0304159342949
55.5;-16.0297547183319
55.6;-16.029093502369
55.7;-16.0284322864061
55.8;-16.0277710704431
55.9;-16.0271098544802
56;-16.0264486385173
56.1;-16.0257874225543
56.2;-16.0251262065914
56.3;-16.0244649906285
56.4;-16.0238037746655
56.5;-16.0231425587026
56.6;-16.0224813427397
56.7;-16.0218201267767
56.8;-16.0211589108138
56.9;-16.0204976948509
57;-16.0198364788879
57.1;-16.019175262925
57.2;-16.0185140469621
57.3;-16.0178528309992
57.4;-16.0171916150362
57.5;-16.0165303990733
57.6;-16.0158691831104
57.7;-16.0152079671474
57.8;-16.0145467511845
57.9;-16.0138855352216
58;-16.0132243192586
58.1;-16.0125631032957
58.2;-16.0119018873328
58.3;-16.0112406713698
58.4;-16.0105794554069
58.5;-16.009918239444
58.6;-16.009257023481
58.7;-16.0085958075181
58.8;-16.0079345915552
58.9;-16.0072733755922
59;-16.0066121596293
59.1;-16.0059509436664
59.2;-16.0052897277035
59.3;-16.0046285117405
59.4;-16.0039672957776
59.5;-16.0033060798147
59.6;-16.0026448638517
59.7;-16.0019836478888
59.8;-16.0013224319259
59.9;-16.0006612159629
60;-16
